#
# Random graph on 1000 nodes. G(100, 1000) (Thu Mar 20 17:42:13 2014)
#
# Rank	Singular value
1	10.8
2	5.88659
3	5.77736
4	5.64224
5	5.43056
6	5.3048
7	5.17707
8	5.01375
9	4.90892
10	4.81414
11	4.77534
12	4.72653
13	4.64934
14	4.6378
15	4.60747
16	4.56787
17	4.53023
18	4.40457
19	4.26769
20	4.2136
21	4.09204
22	4.02862
23	4.00543
24	3.95582
25	3.87006
26	3.80271
27	3.77577
28	3.67107
29	3.60932
30	3.58848
31	3.45326
32	3.40369
33	3.3871
34	3.32554
35	3.2642
36	3.20697
37	3.19182
38	3.09886
39	3.07801
40	3.00098
41	2.94729
42	2.87518
43	2.80924
44	2.75367
45	2.715
46	2.64579
47	2.59022
48	2.52004
49	2.46136
50	2.37549
51	2.32134
52	2.25083
53	2.20009
54	2.03918
55	1.98054
56	1.9362
57	1.87259
58	1.80654
59	1.72655
60	1.63079
61	1.58209
62	1.45042
63	1.42126
64	1.34177
65	1.24644
66	1.16679
67	1.10322
68	1.00321
69	0.954551
70	0.857007
71	0.750601
72	0.68416
73	0.626714
74	0.562355
75	0.474825
76	0.380614
77	0.24765
78	0.202645
79	0.0983118
80	0.0540604
